instruction,input,output
Apa arti lampu lalu lintas merah?,,Lampu merah berarti pengendara wajib berhenti penuh di belakang garis berhenti sampai lampu berubah hijau.
Apa arti lampu lalu lintas kuning?,,Lampu kuning menandakan pengendara harus bersiap berhenti dan tidak menambah kecepatan.
Apa arti lampu lalu lintas hijau?,,Lampu hijau berarti pengendara boleh melanjutkan perjalanan dengan tetap berhati-hati.
Apa fungsi rambu stop?,,Rambu stop mewajibkan pengendara berhenti sejenak dan memastikan kondisi aman sebelum melanjutkan.
Apa fungsi rambu dilarang parkir?,,Rambu ini melarang kendaraan berhenti atau parkir di area tersebut.
Apa fungsi rambu batas kecepatan?,,Rambu batas kecepatan menunjukkan kecepatan maksimum yang boleh digunakan.
Apa kewajiban pengendara motor?,,"Pengendara motor wajib memakai helm SNI, membawa SIM dan STNK, serta mematuhi rambu lalu lintas."
Mengapa helm penting saat berkendara?,,Helm melindungi kepala dari cedera serius saat terjadi kecelakaan.
Apa fungsi sabuk pengaman?,,Sabuk pengaman melindungi tubuh dari benturan saat kecelakaan.
Apa nomor darurat polisi di Indonesia?,,Nomor darurat kepolisian di Indonesia adalah 110.
Apa nomor darurat ambulans?,,Nomor darurat ambulans di Indonesia adalah 119.
Apa nomor pemadam kebakaran?,,Nomor darurat pemadam kebakaran adalah 113 atau 129.
Apa yang harus dilakukan saat kecelakaan?,,"Amankan diri, beri pertolongan pertama jika mampu, dan hubungi layanan darurat."
Apa yang harus dilakukan jika rem blong?,,"Kurangi gigi, gunakan rem tangan perlahan, dan arahkan kendaraan ke tempat aman."
Apa yang dilakukan saat ban pecah?,,"Pegang kemudi dengan kuat, kurangi kecepatan perlahan, dan menepi dengan aman."
Apa fungsi marka jalan?,,Marka jalan mengatur pergerakan kendaraan dan menjaga keselamatan lalu lintas.
Apa arti garis putih putus-putus?,,Garis putih putus-putus menandakan kendaraan boleh berpindah jalur.
Apa arti garis putih utuh?,,Garis putih utuh menandakan kendaraan dilarang berpindah jalur.
Mengapa tidak boleh menggunakan ponsel saat mengemudi?,,Karena dapat mengganggu konsentrasi dan meningkatkan risiko kecelakaan.
Apa bahaya mengemudi sambil mengantuk?,,Mengantuk menurunkan refleks dan meningkatkan kemungkinan kecelakaan.
Mengapa penting menjaga jarak kendaraan?,,Menjaga jarak memberi waktu reaksi saat kendaraan depan berhenti mendadak.
Apa fungsi klakson?,,"Klakson digunakan sebagai peringatan, bukan untuk emosi atau gangguan."
Apa fungsi lampu sein?,,Lampu sein memberi tanda perubahan arah kendaraan.
Apa fungsi lampu hazard?,,Lampu hazard digunakan saat kendaraan dalam kondisi darurat.
Apa kewajiban membawa SIM?,,SIM membuktikan pengendara memiliki izin dan kemampuan mengemudi.
Apa fungsi STNK?,,STNK sebagai bukti legalitas kendaraan.
Mengapa harus mematuhi rambu?,,Rambu dibuat untuk menjaga keselamatan semua pengguna jalan.
Apa bahaya melanggar lampu merah?,,Melanggar lampu merah berisiko menyebabkan kecelakaan fatal.
Apa sanksi tidak memakai helm?,,Pengendara dapat dikenai tilang sesuai peraturan lalu lintas.
Apa sanksi melawan arus?,,Melawan arus berbahaya dan dapat dikenai denda atau penilangan.
Apa yang dilakukan saat hujan lebat?,,"Kurangi kecepatan, nyalakan lampu, dan jaga jarak aman."
Apa yang dilakukan saat jalan licin?,,Hindari pengereman mendadak dan kurangi kecepatan.
Apa yang dilakukan saat kabut?,,Gunakan lampu kabut dan berkendara perlahan.
Mengapa tidak boleh balapan di jalan?,,Balapan membahayakan diri sendiri dan pengguna jalan lain.
Mengapa penting servis kendaraan?,,Servis menjaga kondisi kendaraan tetap aman digunakan.
Apa fungsi spion?,,Spion membantu melihat kondisi lalu lintas di belakang.
Apa itu blind spot?,,Blind spot adalah area yang tidak terlihat melalui spion.
Bagaimana menghindari blind spot?,,Periksa spion dan tengok kanan kiri sebelum berpindah jalur.
Apa fungsi lampu utama?,,Lampu utama membantu visibilitas saat malam atau cuaca buruk.
Apa kewajiban penumpang?,,Penumpang wajib memakai sabuk pengaman atau helm.
Mengapa anak harus duduk di kursi khusus?,,Untuk melindungi anak dari cedera saat kecelakaan.
Apa itu etika berkendara?,,Etika berkendara adalah sikap saling menghormati di jalan.
Mengapa tidak boleh emosi di jalan?,,Emosi dapat memicu tindakan berbahaya saat berkendara.
Apa manfaat berkendara defensif?,,Mengurangi risiko kecelakaan dengan mengantisipasi bahaya.
Apa itu keselamatan lalu lintas?,,Upaya menjaga keamanan semua pengguna jalan.
Apa yang dilakukan saat kendaraan mogok?,,Nyalakan hazard dan menepi di tempat aman.
Apa itu tilang?,,Tilang adalah sanksi atas pelanggaran lalu lintas.
Apa tujuan aturan lalu lintas?,,Untuk menciptakan ketertiban dan keselamatan di jalan.
